iter	Passed	Remaining
0	0	580
1	36	18272
2	37	12368
3	37	9417
45	23	3819
6	23	3323
7	23	29687	69	8614
89	48	4780
10	48	4386
11	49	4044
12	49	3760
13	50	3553
14	50	3341415	51	31615	75	4617
16	135	7838
17	136	7426
18	136	7056
19	137	6723
20	137	6420
21	138	6146
22	148	6300
23	148	6042
24	149	5815
25	149	5606
26	150	5413
27	150	5234
28	162	5435
29	211	6830
30	211	6622
31	213	6444
32	213	6260
33	214	6089
34	215	5938
35	215	5783
36	216	5636
37	217	5497
38	217	5365
39	257	6181
40	257	6031
41	258	5895
42	264	5885
43	264	5756
44	265	5634
45	266	5520
46	266	5407
47	267	5313
48	268	5209
49	269	5112
50	269	5022
51	272	4965
52	272	4876
53	273	4789
54	274	4708
55	274	4625
56	274	4547
57	275	4470
58	275	4396
59	276	4326
60	276	4258
61	277	4191
62	277	4128
63	277	4065
64	278	4005
65	278	3946
66	279	3890
67	279	3835
68	280	3781
69	280	3729
70	281	3678
71	281	3629
72	282	3581
73	282	3534
74	282	3488
75	283	3445
76	284	3406
77	284	3364
78	285	3328
79	286	3295
80	287	3257
81	288	3227
82	288	3191
83	289	3160
84	290	3126
85	290	3092
86	291	3059
87	292	3027
88	292	2997
89	293	2966
90	337	3366
91	338	3336
92	338	3302
93	339	3269
94	352	3356
95	374	3524
96	374	3489
97	375	3453
98	375	3418
99	376	3384
100	386	3439
101	386	3406
102	387	3373
103	387	3340
104	388	3307
105	388	3276
106	388	3246
107	389	3216
108	389	3186
109	391	3165
110	391	3138
111	392	3112
112	393	3085
113	393	3060
114	394	3034
115	394	3010
116	397	2999
117	398	2975
118	398	2951
119	399	2927
120	399	2903
121	400	2880
122	400	2858
123	401	2835
124	401	2813
125	402	2791
126	403	2770
127	403	2749
128	404	2728
129	404	2708
130	405	2687
131	405	2667
132	406	2648
133	459	2967
134	459	2945
135	460	2923
136	460	2901
137	461	2880
138	461	2859
139	462	2838
140	462	2818
141	463	2799
142	463	2780
143	464	2761
144	465	2742
145	468	2743
146	469	2725
147	471	2711
148	471	2693
149	472	2675
150	472	2658
151	473	2640
152	473	2623
153	474	2607
154	495	2703
155	496	2687
156	497	2670
157	497	2653
158	498	2636
159	499	2619
160	499	2603
161	500	2587
162	500	2570
163	552	2818
164	553	2800
165	554	2783
166	554	2767
167	555	2750
168	555	2733
169	556	2717
170	557	2700
171	557	2684
172	572	2738
173	586	2783
174	586	2765
175	587	2748
176	587	2731
177	587	2714
178	588	2697
179	588	2680
180	588	2664
181	589	2647
182	589	2632
183	589	2616
184	590	2600
185	590	2585
186	591	2569
187	591	2554
188	591	2539
189	592	2524
190	592	2509
191	592	2495
192	593	2480
193	593	2466
194	594	2452
195	594	2438
196	594	2424
197	595	2410
198	595	2396
199	595	2383
200	596	2369
201	596	2356
202	596	2343
203	597	2331
204	597	2318
205	598	2305
206	598	2292
207	598	2280
208	616	2333
209	617	2321
210	617	2308
211	617	2296
212	618	2284
213	619	2273
214	620	2263
215	620	2253
216	621	2242
217	621	2230
218	622	2219
219	622	2207
220	624	2200
221	627	2200
222	628	2191
223	630	2182
224	630	2173
225	632	2165
226	632	2154
227	634	2147
228	636	2143
229	646	2165
230	647	2154
231	648	2145
232	649	2136
233	649	2127
234	650	2118
235	651	2110
236	653	2102
237	653	2093
238	654	2085
239	655	2075
240	656	2066
241	657	2059
242	658	2052
243	660	2045
244	671	2067
245	671	2058
246	672	2050
247	673	2042
248	673	2032
249	674	2023
250	675	2014
251	675	2006
252	676	1998
253	677	1990
254	678	1982
255	679	1974
256	680	1967
257	681	1960
258	682	1952
259	682	1943
260	684	1939
261	686	1935
262	688	1929
263	688	1920
264	698	1938
265	699	1929
266	700	1922
267	701	1914
268	701	1907
269	702	1898
270	703	1891
271	703	1882
272	703	1874
273	704	1866
274	705	1858
275	705	1851
276	706	1842
277	706	1834
278	706	1826
279	707	1818
280	707	1810
281	708	1802
282	708	1794
283	708	1786
284	709	1779
285	709	1771
286	710	1764
287	710	1756
288	711	1749
289	711	1741
290	711	1734
291	712	1728
292	714	1723
293	714	1716
294	715	1708
295	715	1701
296	715	1694
297	716	1687
298	716	1680
299	717	1674
300	718	1667
301	719	1662
302	721	1658
303	721	1652
304	722	1646
305	731	1658
306	732	1652
307	732	1645
308	733	1640
309	741	1649
310	741	1643
311	742	1636
312	743	1632
313	744	1626
314	746	1624
315	747	1617
316	747	1611
317	748	1604
318	749	1599
319	751	1597
320	758	1604
321	758	1597
322	762	1598
323	764	1595
324	765	1589
325	765	1582
326	766	1576
327	766	1570
328	767	1565
329	768	1560
330	769	1554
331	769	1548
332	770	1543
333	771	1538
334	773	1534
335	775	1533
336	776	1527
337	776	1521
338	777	1516
339	778	1510
340	778	1504
341	778	1498
342	779	1492
343	780	1487
344	780	1482
345	781	1476
346	781	1470
347	782	1465
348	782	1459
349	782	1453
350	783	1448
351	783	1442
352	784	1437
353	784	1431
354	785	1426
355	785	1420
356	785	1415
357	786	1410
358	786	1404
359	787	1399
360	787	1394
361	788	1388
362	788	1383
363	788	1378
364	789	1373
365	789	1367
366	790	1362
367	790	1357
368	791	1352
369	791	1347
370	791	1342
371	792	1337
372	792	1332
373	793	1327
374	793	1322
375	794	1317
376	794	1313
377	795	1308
378	795	1303
379	796	1299
380	796	1294
381	797	1289
382	797	1284
383	797	1280
384	798	1275
385	798	1270
386	799	1266
387	799	1261
388	800	1256
389	800	1252
390	801	1247
391	801	1243
392	801	1238
393	802	1233
394	802	1229
395	803	1224
396	803	1220
397	803	1215
398	804	1211
399	804	1206
400	805	1202
401	805	1198
402	805	1193
403	806	1189
404	806	1185
405	807	1180
406	807	1176
407	807	1172
408	808	1167
409	808	1163
410	809	1160
411	812	1159
412	813	1155
413	813	1151
414	814	1147
415	814	1143
416	815	1140
417	815	1135
418	818	1134
419	818	1130
420	820	1129
421	823	1127
422	823	1123
423	824	1119
424	824	1116
425	825	1112
426	826	1108
427	826	1104
428	827	1100
429	827	1097
430	844	1114
431	844	1110
432	846	1107
433	848	1107
434	849	1103
435	850	1100
436	850	1096
437	851	1092
438	852	1089
439	856	1090
440	857	1086
441	858	1084
442	866	1089
443	867	1085
444	867	1082
445	868	1079
446	869	1075
447	869	1071
448	870	1068
449	871	1064
450	871	1061
451	873	1058
452	874	1056
453	875	1052
454	875	1048
455	876	1045
456	876	1041
457	876	1037
458	877	1034
459	877	1030
460	878	1026
461	878	1022
462	878	1019
463	879	1015
464	879	1011
465	880	1008
466	880	1004
467	880	1001
468	881	997
469	881	994
470	882	990
471	882	987
472	883	984
473	884	981
474	884	977
475	885	974
476	885	971
477	887	969
478	888	966
479	889	963
480	891	961
481	891	958
482	892	955
483	892	951
484	893	948
485	893	945
486	893	941
487	894	938
488	894	935
489	901	938
490	902	936
491	903	932
492	904	929
493	904	926
494	905	923
495	915	929
496	915	926
497	917	924
498	917	921
